OBJECTID,GEOID,NAME,POSITIVE,NEGATIVE,DEATHS,DATE,POP
36,55001,Adams,4,107,1,2020-04-18T06:00:00.000Z,20073
11,55003,Ashland,2,72,0,2020-04-18T06:00:00.000Z,15712
40,55005,Barron,6,555,0,2020-04-18T06:00:00.000Z,45252
21,55007,Bayfield,3,103,1,2020-04-18T06:00:00.000Z,14992
53,55009,Brown,204,1157,1,2020-04-18T06:00:00.000Z,259786
69,55011,Buffalo,4,129,1,2020-04-18T06:00:00.000Z,13167
49,55013,Burnett,0,63,0,2020-04-18T06:00:00.000Z,15258
47,55015,Calumet,5,234,0,2020-04-18T06:00:00.000Z,49807
50,55017,Chippewa,21,702,0,2020-04-18T06:00:00.000Z,63635
64,55019,Clark,14,127,0,2020-04-18T06:00:00.000Z,34491
63,55021,Columbia,27,544,1,2020-04-18T06:00:00.000Z,56954
27,55023,Crawford,3,148,0,2020-04-18T06:00:00.000Z,16288
46,55025,Dane,358,6559,16,2020-04-18T06:00:00.000Z,529843
45,55027,Dodge,19,606,1,2020-04-18T06:00:00.000Z,87776
72,55029,Door,9,104,1,2020-04-18T06:00:00.000Z,27439
51,55031,Douglas,8,372,0,2020-04-18T06:00:00.000Z,43402
4,55033,Dunn,9,682,0,2020-04-18T06:00:00.000Z,44498
28,55035,Eau Claire,22,1377,0,2020-04-18T06:00:00.000Z,102991
39,55037,Florence,2,11,0,2020-04-18T06:00:00.000Z,4337
23,55039,Fond du Lac,62,1007,3,2020-04-18T06:00:00.000Z,102315
30,55041,Forest,0,35,0,2020-04-18T06:00:00.000Z,9018
62,55043,Grant,15,332,2,2020-04-18T06:00:00.000Z,51828
34,55045,Green,9,225,0,2020-04-18T06:00:00.000Z,36864
6,55047,Green Lake,1,123,0,2020-04-18T06:00:00.000Z,18757
59,55049,Iowa,6,172,0,2020-04-18T06:00:00.000Z,23620
41,55051,Iron,2,26,1,2020-04-18T06:00:00.000Z,5715
5,55053,Jackson,11,159,1,2020-04-18T06:00:00.000Z,20506
48,55055,Jefferson,27,563,0,2020-04-18T06:00:00.000Z,84652
66,55057,Juneau,10,233,1,2020-04-18T06:00:00.000Z,26419
9,55059,Kenosha,236,1368,5,2020-04-18T06:00:00.000Z,168330
24,55061,Kewaunee,8,77,1,2020-04-18T06:00:00.000Z,20360
3,55063,La Crosse,25,1446,0,2020-04-18T06:00:00.000Z,117850
15,55065,Lafayette,3,70,0,2020-04-18T06:00:00.000Z,16735
25,55067,Langlade,0,69,0,2020-04-18T06:00:00.000Z,19164
57,55069,Lincoln,0,127,0,2020-04-18T06:00:00.000Z,27848
71,55071,Manitowoc,6,201,0,2020-04-18T06:00:00.000Z,79407
38,55073,Marathon,17,465,1,2020-04-18T06:00:00.000Z,135264
60,55075,Marinette,5,191,1,2020-04-18T06:00:00.000Z,40537
52,55077,Marquette,3,113,1,2020-04-18T06:00:00.000Z,15207
70,55078,Menominee,1,12,0,2020-04-18T06:00:00.000Z,4579
10,55079,Milwaukee,2065,8932,122,2020-04-18T06:00:00.000Z,954209
42,55081,Monroe,13,517,0,2020-04-18T06:00:00.000Z,45502
29,55083,Oconto,4,188,0,2020-04-18T06:00:00.000Z,37556
12,55085,Oneida,6,215,0,2020-04-18T06:00:00.000Z,35345
35,55087,Outagamie,33,813,2,2020-04-18T06:00:00.000Z,184754
18,55089,Ozaukee,79,663,9,2020-04-18T06:00:00.000Z,88284
58,55091,Pepin,0,87,0,2020-04-18T06:00:00.000Z,7262
2,55093,Pierce,7,301,0,2020-04-18T06:00:00.000Z,41603
33,55095,Polk,4,175,0,2020-04-18T06:00:00.000Z,43349
22,55097,Portage,4,218,0,2020-04-18T06:00:00.000Z,70599
61,55099,Price,1,49,0,2020-04-18T06:00:00.000Z,13490
43,55101,Racine,164,1283,8,2020-04-18T06:00:00.000Z,195398
54,55103,Richland,8,185,1,2020-04-18T06:00:00.000Z,17539
26,55105,Rock,68,1167,4,2020-04-18T06:00:00.000Z,161769
67,55107,Rusk,4,87,0,2020-04-18T06:00:00.000Z,14183
65,55109,St. Croix,11,308,0,2020-04-18T06:00:00.000Z,87917
1,55111,Sauk,32,506,3,2020-04-18T06:00:00.000Z,63596
31,55113,Sawyer,2,184,0,2020-04-18T06:00:00.000Z,16370
44,55115,Shawano,6,219,0,2020-04-18T06:00:00.000Z,41009
19,55117,Sheboygan,39,609,2,2020-04-18T06:00:00.000Z,115205
37,55119,Taylor,0,70,0,2020-04-18T06:00:00.000Z,20356
32,55121,Trempealeau,1,338,0,2020-04-18T06:00:00.000Z,29438
8,55123,Vernon,0,265,0,2020-04-18T06:00:00.000Z,30516
17,55125,Vilas,4,90,0,2020-04-18T06:00:00.000Z,21593
7,55127,Walworth,89,503,4,2020-04-18T06:00:00.000Z,103013
14,55129,Washburn,1,118,0,2020-04-18T06:00:00.000Z,15689
20,55131,Washington,82,1237,3,2020-04-18T06:00:00.000Z,134535
68,55133,Waukesha,259,2512,11,2020-04-18T06:00:00.000Z,398879
16,55135,Waupaca,4,257,1,2020-04-18T06:00:00.000Z,51444
13,55137,Waushara,2,97,0,2020-04-18T06:00:00.000Z,24116
56,55139,Winnebago,38,795,1,2020-04-18T06:00:00.000Z,169926
55,55141,Wood,2,308,0,2020-04-18T06:00:00.000Z,73274
