County,2020*,2019*,2018,2017,2016,2015,Average
Adams,1,3,2,1,3,5,2
Ashland,0,1,1,3,5,1,2
Barron,1,9,7,5,4,8,6
Bayfield,2,1,2,3,3,8,3
Brown,1,10,18,25,18,15,17
Buffalo,0,2,5,0,3,2,2
Burnett,1,9,6,5,4,1,5
Calumet,2,1,3,5,2,4,3
Chippewa,1,6,14,12,1,9,8
Clark,1,4,6,9,10,3,6
Columbia,2,9,11,6,20,10,11
Crawford,1,2,3,1,3,5,2
Dane,8,25,41,32,38,30,33
Dodge,2,13,8,20,12,11,12
Door,0,6,7,1,4,4,4
Douglas,1,4,3,2,2,3,2
Dunn,3,5,9,8,11,6,7
Eau Claire,1,2,5,4,10,6,5
Florence,1,0,3,1,0,1,1
Fond du Lac,1,8,16,11,10,12,11
Forest,0,1,2,2,2,3,2
Grant,1,10,5,8,11,7,8
Green,0,4,3,6,6,6,5
Green Lake,0,3,0,0,1,3,1
Iowa,0,7,3,3,2,3,3
Iron,0,4,2,1,3,1,2
Jackson,0,4,6,6,3,4,4
Jefferson,4,6,13,13,7,7,9
Juneau,1,7,11,6,9,7,8
Kenosha,6,15,16,18,18,7,14
Kewaunee,1,1,0,3,2,0,1
La Crosse,0,5,9,12,6,4,7
Lafayette,0,0,3,5,2,1,2
Langlade,0,2,2,2,2,3,2
Lincoln,1,4,2,5,2,7,4
Manitowoc,0,15,8,6,3,5,7
Marathon,0,14,9,15,9,15,12
Marinette,0,7,10,2,5,5,5
Marquette,0,1,2,6,2,5,3
Menominee,0,1,0,0,0,0,0
Milwaukee,14,74,68,86,73,81,76
Monroe,1,6,6,6,9,4,6
Oconto,2,8,7,8,7,16,9
Oneida,0,7,6,3,5,3,4
Outagamie,2,16,12,20,14,13,15
Ozaukee,1,12,5,5,7,5,6
Pepin,0,0,2,0,1,0,0
Pierce,1,5,2,7,10,2,5
Polk,4,11,10,7,10,5,8
Portage,0,3,8,5,2,3,4
Price,0,3,2,1,3,2,2
Racine,7,16,20,11,17,24,17
Richland,0,0,1,1,4,0,1
Rock,6,23,31,13,23,19,21
Rusk,0,4,2,2,0,3,2
Saint Croix,0,13,8,7,7,12,9
Sauk,1,9,12,11,11,9,10
Sawyer,0,2,1,1,3,4,2
Shawano,0,5,4,16,8,6,7
Sheboygan,0,11,9,11,10,13,10
Taylor,1,3,5,1,6,3,3
Trempealeau,4,1,2,3,0,8,2
Vernon,0,1,4,3,4,6,3
Vilas,1,4,2,2,11,4,4
Walworth,2,15,7,21,23,14,16
Washburn,0,4,0,3,1,3,2
Washington,0,12,10,7,10,9,9
Waukesha,1,18,25,25,27,10,21
Waupaca,1,11,6,8,5,14,8
Waushara,2,2,5,7,3,6,4
Winnebago,2,11,13,9,10,7,10
Wood,2,10,5,11,6,10,8
Total,99,551,576,594,588,555,572
